age,income,loan_amount,loan_term,credit_history,num_dependents,default
58,75174,23473,24,0,1,0
61,48528,4972,60,1,0,0
31,52951,25795,60,0,3,0
55,42890,30886,24,1,2,0
31,67468,13074,12,1,0,0
40,21152,6196,48,0,3,1
36,63285,5247,36,0,0,0
32,58386,500,24,0,3,0
58,56008,10883,36,0,2,0
61,33614,6209,24,0,1,0
35,78526,14247,60,0,2,0
67,84876,20115,36,1,2,0
54,62399,10124,48,1,3,0
26,50544,25268,36,1,3,0
26,41283,14791,12,0,1,0
68,38602,5234,48,1,3,0
53,51948,14067,12,1,2,0
45,50879,15540,36,0,0,0
37,62967,7012,24,0,2,0
52,93308,9789,12,1,3,0
41,77313,4573,36,0,0,0
54,57997,13892,48,0,1,0
48,61351,13424,60,1,1,0
66,48314,9680,36,1,2,0
51,35599,16812,12,1,0,0
32,47958,14492,12,0,0,0
73,38366,23410,36,1,1,0
64,73914,10897,48,0,3,0
30,74333,21554,36,1,3,0
64,77446,18888,12,0,3,0
69,59761,10379,24,1,1,0
35,10371,18792,12,1,0,1
52,77126,500,24,0,3,0
31,78463,2028,24,1,0,0
34,81401,8750,36,1,3,0
36,51399,17720,60,0,2,0
55,5593,17609,60,0,0,0
23,54480,12576,12,0,3,0
74,26175,10539,12,0,3,0
54,3754,12333,24,1,1,0
26,42019,9044,36,0,0,0
54,57799,14923,24,1,1,0
74,63592,17508,36,0,3,0
63,31384,36741,60,0,2,0
24,59959,13391,12,0,1,0
56,54487,22107,36,1,2,0
72,76934,18560,36,0,0,0
26,39847,10268,48,1,0,0
74,45884,10763,12,1,1,0
20,34671,30995,12,1,1,0
60,77798,23380,48,0,1,0
69,65389,500,12,0,2,0
44,62879,500,24,1,1,0
24,45841,16512,48,0,1,0
47,28274,27014,24,0,0,0
43,31124,29096,36,1,3,0
71,3885,10728,12,1,1,0
34,76173,17566,36,1,3,0
50,82044,26393,24,1,0,0
18,14034,13189,24,1,3,1
60,74550,9663,12,1,2,0
38,36306,18854,24,0,3,0
42,30957,500,60,1,3,0
18,45437,20183,60,1,3,0
61,55119,23822,24,0,2,0
58,43516,12587,24,1,1,0
27,64812,15916,48,0,3,0
58,21693,9170,48,1,3,0
59,33860,500,12,1,1,0
62,43620,14710,24,0,3,0
47,20583,500,60,1,3,0
64,66425,9703,60,1,1,0
48,18241,19121,36,1,1,0
22,46680,9304,36,1,0,0
32,41455,18089,24,0,3,0
52,42992,15609,48,1,0,0
66,29756,10829,36,1,3,0
71,21020,21465,60,0,3,0
45,30232,15715,48,0,3,0
57,7414,11290,60,0,0,0
26,58486,11238,36,1,2,0
38,28495,29036,36,1,2,0
48,74719,16210,36,0,0,0
59,54861,15502,24,0,0,0
33,70880,23481,60,0,3,0
67,31455,23009,12,0,2,1
19,73620,10472,48,1,1,0
62,57233,9781,36,0,0,0
45,46010,12431,36,0,3,0
24,32663,18077,48,0,3,0
51,65498,13633,60,1,3,0
64,35253,11126,24,0,2,0
33,50077,4608,48,1,0,0
38,55735,20025,36,1,2,0
62,68584,8028,60,0,0,0
44,16388,15966,48,1,3,0
23,44413,22831,24,1,2,0
51,12503,37444,60,1,2,0
35,44956,20429,24,1,0,0
66,45211,10147,48,1,2,0
71,54942,20397,24,1,0,0
26,41765,36395,60,1,1,0
66,9457,15930,60,1,3,0
39,52603,17380,48,0,0,0
22,23037,9331,24,0,2,0
33,75017,24215,60,0,3,0
46,42186,25192,48,1,0,0
65,77541,22923,24,1,0,0
29,38947,13502,48,1,3,0
32,46133,21335,48,0,1,0
68,56842,4676,24,1,0,0
59,59318,20062,24,0,0,0
37,19159,6611,36,1,0,0
37,35145,500,60,1,3,0
20,75022,6658,60,1,0,0
61,63457,6021,12,1,0,0
29,21457,17140,36,0,3,0
49,72112,13258,48,1,2,0
72,60947,21979,48,1,3,0
53,58360,15785,36,1,0,0
